Selection Year,JO Type,Job Network,Entity,Gender,Nationality,Region,Job Family,Level,Posting Year,JO Number,Applicant Number,JO Selection,Candidate Rostered?,Entity Type,SelectionMonth,PostingMonth,Job Code,Job_Family,Recruitment Timeline (Days)
2017,PSJO,POLNET,UN-PKO-1,Male,Togo,Africa,Rule of Law,P-3,2016,162897,4322427,Non-roster,No,Peacekeeping Mission,2017-01-01,2016-01-01,UNS:4297,ROL,374
2019,RfR,POLNET,UN-SPM-4,Female,Guinea,Africa,Political Affairs,P-5,2019,341250,4349088,Roster,Yes,Special Political Mission,2019-04-01,2019-03-01,UNS:6180,POL,24
2019,RfR,MAGNET,UN-PKO-1,Female,United States of America,Western Europe and Others,Finance,P-4,2019,363063,4353420,Roster,Yes,Peacekeeping Mission,2019-09-01,2019-08-01,UNS:3350,FIN,49
2021,RfR,MAGNET,UN-PKO-1,Female,United States of America,Western Europe and Others,Finance,P-5,2021,456384,4353420,Roster,Yes,Peacekeeping Mission,2021-06-01,2021-04-01,UNS:10243,FIN,61
2018,PSJO,INFONET,UN-OAH-2,Female,France,Western Europe and Others,Language,P-4,2018,281580,4427925,Non-roster,No,OAH,2018-07-01,2018-03-01,UNS:8060,LAN,147
2021,RfR,POLNET,UN-PKO-1,Male,Burkina Faso,Africa,Security Institutions,P-3,2021,459498,4513653,Roster,Yes,Peacekeeping Mission,2021-06-01,2021-04-01,UNS:2898,SEI,48
2021,PSJO,POLNET,UN-PKO-1,Female,Canada,Western Europe and Others,Political Affairs,P-5,2019,351921,4546776,Non-roster,No,Peacekeeping Mission,2021-01-01,2019-06-01,UNS:6180,POL,600
2017,PSJO,DEVNET,UN-DEPT-3,Female,Germany,Western Europe and Others,Public Administration,P-5,2017,234537,4549932,Non-roster,No,Department,2017-08-01,2017-05-01,UNS:10100,PBA,120
2020,RfR,POLNET,UN-PKO-1,Female,Austria,Western Europe and Others,Human Rights Affairs,P-5,2019,383811,4595607,Roster,Yes,Peacekeeping Mission,2020-02-01,2019-12-01,UNS:10422,HRI,63
2017,PSJO,MAGNET,UN-OAH-2,Female,Tajikistan,Asia-Pacific,Human Resources,P-4,2017,259506,4650393,Roster,Yes,OAH,2017-11-01,2017-10-01,UNS:3822,HRE,35
2022,PSJO,POLNET,UN-OFFICE-5,Female,Kenya,Africa,Political Affairs,P-3,2022,540165,4727448,Non-roster,No,Office,2022-08-01,2022-05-01,UNS:5119,POL,106
2017,PSJO,INFONET,UN-OAH-2,Female,Ireland,Western Europe and Others,Language,P-4,2017,253149,4752630,Roster,Yes,OAH,2017-10-01,2017-08-01,UNS:8230,LAN,50
2017,PSJO,DEVNET,UN-DEPT-3,Female,Canada,Western Europe and Others,Economic Affairs,P-3,2016,187581,4820325,Non-roster,No,Department,2017-01-01,2016-06-01,UNS:7283,ECO,211
2018,PSJO,DEVNET,UN-DEPT-3,Male,United States of America,Western Europe and Others,Population Affairs,P-5,2017,269424,4862409,Non-roster,No,Department,2018-07-01,2017-12-01,UNS:7579,POP,201
2017,PSJO,SAFETYNET,UN-OAH-2,Male,Ireland,Western Europe and Others,Security,P-4,2016,199074,4863870,Non-roster,No,OAH,2017-03-01,2016-10-01,UNS:2744,SEC,164
2021,RfR,POLNET,UN-PKO-1,Female,France,Western Europe and Others,Political Affairs,P-3,2021,442713,4876365,Roster,Yes,Peacekeeping Mission,2021-03-01,2021-01-01,UNS:5119,POL,58
2022,RfR,POLNET,UN-PKO-1,Female,Italy,Western Europe and Others,Rule of Law,P-3,2021,485964,4911945,Roster,Yes,Peacekeeping Mission,2022-01-01,2021-11-01,UNS:4297,ROL,59
2018,PSJO,DEVNET,UN-DEPT-3,Female,United States of America,Western Europe and Others,Social Affairs,P-3,2017,268518,4949682,Mixed,Yes,Department,2018-02-01,2017-12-01,UNS:6384,SOC,57
2020,PSJO,DEVNET,UN-DEPT-3,Female,Fiji,Asia-Pacific,Economic Affairs,P-5,2019,339423,4965048,Non-roster,No,Department,2020-01-01,2019-03-01,UNS:7577,ECO,303
2019,PSJO,INFONET,UN-OAH-2,Female,United Kingdom,Western Europe and Others,Language,P-4,2019,330492,5003316,Roster,Yes,OAH,2019-02-01,2019-01-01,UNS:8057,LAN,19
2017,PSJO,LOGNET,UN-OAH-2,Female,Belgium,Western Europe and Others,Engineering,P-4,2016,189654,5003622,Non-roster,No,OAH,2017-02-01,2016-07-01,UNS:7397,ENG,187
2021,PSJO,INFONET,UN-OAH-2,Female,Morocco,Africa,Language,P-5,2020,391647,5026206,Non-roster,No,OAH,2021-04-01,2020-02-01,UNS:8698,LAN,448
2017,PSJO,INFONET,UN-OAH-2,Female,Morocco,Africa,Language,P-4,2016,207318,5026206,Non-roster,No,OAH,2017-07-01,2016-11-01,UNS:8630,LAN,236
2022,PSJO,INFONET,UN-OAH-2,Male,Spain,Western Europe and Others,Language,P-4,2022,521889,5037894,Non-roster,Yes,OAH,2022-07-01,2022-02-01,UNS:8634,LAN,155
2022,PSJO,POLNET,UN-OFFICE-5,Female,"Korea, Republic of",Asia-Pacific,Political Affairs,P-3,2022,516285,5043873,Non-roster,Yes,Office,2022-06-01,2022-01-01,UNS:5119,POL,157
2021,PSJO,ITECNET,UN-OAH-2,Male,Congo,Africa,Information Management Systems and Technology,P-3,2020,402735,5082093,Non-roster,No,OAH,2021-04-01,2020-04-01,UNS:4083,IST,370
2021,PSJO,MAGNET,UN-OAH-2,Female,United States of America,Western Europe and Others,Administration,P-3,2021,468756,5103825,Roster,Yes,OAH,2021-09-01,2021-06-01,UNS:1102,ADM,113
2017,PSJO,POLNET,UN-PKO-1,Female,Senegal,Africa,Political Affairs,P-4,2015,145194,5105454,Non-roster,No,Peacekeeping Mission,2017-07-01,2015-09-01,UNS:5121,POL,652
2018,PSJO,INFONET,UN-OAH-2,Female,Russian Federation,Eastern European,Language,P-4,2017,261015,5135397,Non-roster,No,OAH,2018-03-01,2017-10-01,UNS:7548,LAN,148
2022,PSJO,INFONET,UN-OAH-2,Male,Belgium,Western Europe and Others,Language,P-4,2022,520122,5152188,Roster,Yes,OAH,2022-04-01,2022-01-01,UNS:8232,LAN,71
2018,PSJO,MAGNET,UN-OAH-2,Female,Brazil,Latin American and Caribbean,Human Resources,P-3,2018,316215,5185863,Roster,Yes,OAH,2018-10-01,2018-10-01,UNS:3819,HRE,11
2019,PSJO,LEGALNET,UN-OAH-2,Male,Canada,Western Europe and Others,Legal Affairs,P-3,2019,362559,5189097,Roster,Yes,OAH,2019-08-01,2019-08-01,UNS:4426,LEG,7
2022,PSJO,INFONET,UN-OAH-2,Female,Spain,Western Europe and Others,Language,P-4,2022,521889,5207448,Non-roster,Yes,OAH,2022-07-01,2022-02-01,UNS:8634,LAN,155
2021,PSJO,MAGNET,UN-PKO-1,Male,Burkina Faso,Africa,Human Resources,P-3,2021,470661,5214819,Non-roster,No,Peacekeeping Mission,2021-12-01,2021-06-01,UNS:8728,HRE,172
2017,PSJO,DEVNET,UN-DEPT-3,Male,Italy,Western Europe and Others,Economic Affairs,P-5,2016,210612,5218728,Non-roster,No,Department,2017-05-01,2016-12-01,UNS:7605,ECO,137
2021,PSJO,INFONET,UN-OAH-2,Female,France,Western Europe and Others,Language,P-4,2021,458100,5281779,Non-roster,No,OAH,2021-10-01,2021-04-01,UNS:8633,LAN,193
2021,PSJO,INFONET,UN-OAH-2,Female,Belgium,Western Europe and Others,Language,P-4,2021,456345,5283177,Non-roster,No,OAH,2021-07-01,2021-04-01,UNS:8232,LAN,104
2019,PSJO,DEVNET,UN-DEPT-3,Female,Finland,Western Europe and Others,Sustainable Development,P-4,2018,321387,5361408,Non-roster,No,Department,2019-08-01,2018-11-01,UNS:6658,SUS,249
2021,PSJO,DEVNET,UN-DEPT-3,Female,Finland,Western Europe and Others,Sustainable Development,P-4,2021,501732,5361408,Roster,Yes,Department,2021-12-01,2021-11-01,UNS:6658,SUS,21
2018,PSJO,DEVNET,UN-DEPT-3,Female,Finland,Western Europe and Others,Sustainable Development,P-3,2017,234006,5361408,Non-roster,No,Department,2018-01-01,2017-05-01,UNS:6657,SUS,238
2022,RfR,POLNET,UN-PKO-1,Female,Cameroon,Africa,Rule of Law,P-4,2022,523341,5368341,Roster,Yes,Peacekeeping Mission,2022-03-01,2022-02-01,UNS:4298,ROL,42
2019,PSJO,MAGNET,UN-OAH-2,Female,India,Asia-Pacific,Finance,P-4,2018,320847,5451966,Roster,Yes,OAH,2019-01-01,2018-12-01,UNS:3350,FIN,30
2021,PSJO,DEVNET,UN-DEPT-3,Male,Switzerland,Western Europe and Others,Statistics,P-5,2021,461814,5472279,Roster,Yes,Department,2021-11-01,2021-04-01,UNS:7585,STT,201
2022,PSJO,INFONET,UN-OAH-2,Female,Spain,Western Europe and Others,Language,P-4,2022,555099,5496483,Roster,Yes,OAH,2022-07-01,2022-06-01,UNS:8236,LAN,11
2021,PSJO,DEVNET,UN-DEPT-3,Female,United States of America,Western Europe and Others,Public Administration,P-5,2021,469149,5530914,Non-roster,No,Department,2021-12-01,2021-06-01,UNS:10100,PBA,163
2018,PSJO,DEVNET,UN-DEPT-3,Male,United Kingdom,Western Europe and Others,Social Affairs,P-3,2018,284913,5540835,Non-roster,No,Department,2018-08-01,2018-04-01,UNS:6384,SOC,133
2017,PSJO,INFONET,UN-OAH-2,Male,Egypt,Africa,Language,P-4,2016,213756,5551425,Roster,Yes,OAH,2017-01-01,2016-12-01,UNS:8226,LAN,41
2019,PSJO,LOGNET,UN-OAH-2,Female,Turkey,Western Europe and Others,Engineering,P-4,2018,312261,5577030,Non-roster,No,OAH,2019-06-01,2018-10-01,UNS:7397,ENG,260
2017,PSJO,ITECNET,UN-OAH-2,Male,Greece,Western Europe and Others,Information Management Systems and Technology,P-3,2017,220401,5596275,Non-roster,No,OAH,2017-09-01,2017-02-01,UNS:4083,IST,224
2019,RfR,LOGNET,UN-PKO-1,Female,Germany,Western Europe and Others,Logistics and Supply Chain,P-3,2019,346644,5654184,Roster,Yes,Peacekeeping Mission,2019-08-01,2019-06-01,UNS:4536,LOG,42
2022,PSJO,INFONET,UN-OAH-2,Female,Russian Federation,Eastern European,Language,P-4,2021,499083,5654844,Non-roster,No,OAH,2022-02-01,2021-10-01,UNS:8234,LAN,116
2017,PSJO,POLNET,UN-OFFICE-5,Male,Egypt,Africa,Political Affairs,P-4,2017,218847,5698539,Non-roster,No,Office,2017-02-01,2017-01-01,UNS:5121,POL,29
2019,PSJO,INFONET,UN-OAH-2,Male,United Kingdom,Western Europe and Others,Language,P-4,2019,381822,5738484,Roster,Yes,OAH,2019-12-01,2019-11-01,UNS:8230,LAN,23
2019,PSJO,DEVNET,UN-DEPT-3,Female,El Salvador,Latin American and Caribbean,Programme Management,P-3,2019,368916,5740482,Roster,Yes,Department,2019-11-01,2019-09-01,UNS:8412,PGM,46
2020,PSJO,DEVNET,UN-DEPT-3,Male,Zimbabwe,Africa,Economic Affairs,P-5,2019,356154,5793042,Non-roster,No,Department,2020-01-01,2019-07-01,UNS:7577,ECO,204
2022,PSJO,DEVNET,UN-DEPT-3,Male,New Zealand,Western Europe and Others,Population Affairs,P-3,2021,456507,5801355,Non-roster,No,Department,2022-03-01,2021-04-01,UNS:5126,POP,316
2018,PSJO,LOGNET,UN-OAH-2,Female,United Kingdom,Western Europe and Others,Procurement,P-3,2018,278379,5847360,Roster,Yes,OAH,2018-07-01,2018-02-01,UNS:5223,PRO,153
2022,RfR,POLNET,UN-PKO-1,Female,Poland,Eastern European,Human Rights Affairs,P-3,2022,533718,5855289,Roster,Yes,Peacekeeping Mission,2022-08-01,2022-04-01,UNS:3873,HRI,136
2022,PSJO,DEVNET,UN-DEPT-3,Male,Norway,Western Europe and Others,Economic Affairs,P-5,2022,516537,5874351,Roster,Yes,Department,2022-06-01,2022-02-01,UNS:7577,ECO,122
2017,PSJO,DEVNET,UN-DEPT-3,Male,Norway,Western Europe and Others,Economic Affairs,P-5,2016,178611,5874351,Non-roster,No,Department,2017-02-01,2016-06-01,UNS:7577,ECO,253
