Selection Year,JO Type,Job Network,Entity,Gender,Nationality,Region,Job Family,Level,Posting Year,JO Number,Applicant Number,JO Selection,Candidate Rostered?,Entity Type,SelectionMonth,PostingMonth,Job Code,Job_Family,Recruitment Timeline (Days)
2022,PSJO,POLNET,UN-OFFICE-5,Female,Turkey,Western Europe and Others,Political Affairs,P-5,2021,503577,7740030,Non-roster,Yes,Office,2022-03-01,2021-12-01,UNS:6285,POL,94
2018,PSJO,POLNET,UN-PKO-1,Male,Benin,Africa,Political Affairs,P-5,2018,292410,7748940,Non-roster,No,Peacekeeping Mission,2018-11-01,2018-05-01,UNS:6285,POL,195
2021,PSJO,MAGNET,UN-OAH-2,Female,Czech Republic,Eastern European,Human Resources,P-3,2021,469566,7797096,Roster,Yes,OAH,2021-06-01,2021-05-01,UNS:3819,HRE,6
2018,PSJO,INFONET,UN-OAH-2,Female,Ireland,Western Europe and Others,Language,P-4,2018,286044,7835970,Non-roster,No,OAH,2018-08-01,2018-03-01,UNS:8632,LAN,131
2019,PSJO,MAGNET,UN-OAH-2,Male,Belgium,Western Europe and Others,Human Resources,P-3,2019,378822,7869240,Roster,Yes,OAH,2019-11-01,2019-11-01,UNS:3819,HRE,12
2018,PSJO,INFONET,UN-OAH-2,Female,Spain,Western Europe and Others,Language,P-4,2018,283284,7870137,Non-roster,No,OAH,2018-09-01,2018-03-01,UNS:8634,LAN,196
2020,PSJO,POLNET,UN-PKO-1,Male,Egypt,Africa,Political Affairs,P-3,2019,371961,7871631,Non-roster,No,Peacekeeping Mission,2020-11-01,2019-10-01,UNS:5119,POL,399
2022,PSJO,DEVNET,UN-OAH-2,Female,United States of America,Western Europe and Others,Programme Management,P-4,2021,492504,7893132,Non-roster,No,OAH,2022-01-01,2021-09-01,UNS:5283,PGM,117
2020,PSJO,DEVNET,UN-DEPT-3,Male,Germany,Western Europe and Others,Sustainable Development,P-3,2019,368934,7896228,Non-roster,No,Department,2020-05-01,2019-09-01,UNS:6657,SUS,235
2017,PSJO,INFONET,UN-OAH-2,Female,Spain,Western Europe and Others,Language,P-4,2017,234318,7901304,Roster,Yes,OAH,2017-06-01,2017-05-01,UNS:8634,LAN,43
2017,PSJO,LOGNET,UN-OAH-2,Male,Canada,Western Europe and Others,Engineering,P-4,2017,213966,7902693,Non-roster,No,OAH,2017-09-01,2017-01-01,UNS:3156,ENG,244
2018,PSJO,DEVNET,UN-DEPT-3,Female,Germany,Western Europe and Others,Sustainable Development,P-3,2017,240885,8041731,Non-roster,No,Department,2018-10-01,2017-06-01,UNS:6657,SUS,499
2020,PSJO,POLNET,UN-OFFICE-5,Female,Switzerland,Western Europe and Others,Political Affairs,P-3,2020,433557,8050803,Roster,Yes,Office,2020-12-01,2020-11-01,UNS:5119,POL,20
2017,PSJO,DEVNET,UN-DEPT-3,Male,France,Western Europe and Others,Programme Management,P-4,2016,147819,8067789,Non-roster,No,Department,2017-05-01,2016-08-01,UNS:5283,PGM,251
2021,RfR,POLNET,UN-PKO-1,Female,Senegal,Africa,Security Institutions,P-3,2021,482649,8073528,Roster,Yes,Peacekeeping Mission,2021-10-01,2021-08-01,UNS:6096,SEI,60
2017,PSJO,DEVNET,UN-DEPT-3,Male,United Kingdom,Western Europe and Others,Statistics,P-4,2016,175122,8083344,Non-roster,No,Department,2017-01-01,2016-04-01,UNS:6540,STT,287
2017,PSJO,SAFETYNET,UN-OFFICE-5,Male,Ireland,Western Europe and Others,Security,P-4,2017,219078,8086698,Non-roster,No,Office,2017-02-01,2017-01-01,UNS:5988,SEC,24
2021,PSJO,LOGNET,UN-OAH-2,Female,Colombia,Latin American and Caribbean,Engineering,P-3,2021,467346,8145981,Non-roster,No,OAH,2021-12-01,2021-05-01,UNS:3153,ENG,214
2022,PSJO,SAFETYNET,UN-OAH-2,Female,Canada,Western Europe and Others,Security,P-3,2022,513048,8149881,Roster,Yes,OAH,2022-05-01,2022-01-01,UNS:5987,SEC,125
2022,RfR,POLNET,UN-PKO-1,Male,Belgium,Western Europe and Others,Political Affairs,P-4,2021,497283,8211507,Roster,Yes,Peacekeeping Mission,2022-01-01,2021-10-01,UNS:6453,POL,88
2019,PSJO,INFONET,UN-OAH-2,Male,United Kingdom,Western Europe and Others,Language,P-4,2018,313053,8231820,Non-roster,No,OAH,2019-03-01,2018-10-01,UNS:8632,LAN,161
2018,PSJO,INFONET,UN-OAH-2,Female,France,Western Europe and Others,Language,P-4,2018,274716,8263911,Non-roster,No,OAH,2018-07-01,2018-01-01,UNS:8633,LAN,190
2018,RfR,POLNET,UN-PKO-1,Female,Canada,Western Europe and Others,Human Rights Affairs,P-3,2018,311526,8269410,Roster,Yes,Peacekeeping Mission,2018-11-01,2018-09-01,UNS:2322,HRI,68
2021,PSJO,INFONET,UN-OAH-2,Male,France,Western Europe and Others,Language,P-4,2021,457617,8295735,Roster,Yes,OAH,2021-07-01,2021-04-01,UNS:8633,LAN,86
2018,PSJO,DEVNET,UN-DEPT-3,Female,Norway,Western Europe and Others,Statistics,P-5,2017,258426,8300382,Non-roster,No,Department,2018-05-01,2017-10-01,UNS:7585,STT,198
2022,RfR,LOGNET,UN-PKO-1,Male,Canada,Western Europe and Others,Transportation,P-4,2022,532899,8313735,Roster,Yes,Peacekeeping Mission,2022-07-01,2022-04-01,UNS:10160,TRA,95
2018,PSJO,DEVNET,UN-DEPT-3,Male,United States of America,Western Europe and Others,Statistics,P-3,2017,217482,8350062,Non-roster,Yes,Department,2018-03-01,2017-01-01,UNS:6539,STT,417
2020,PSJO,DEVNET,UN-DEPT-3,Male,Chile,Latin American and Caribbean,Statistics,P-5,2020,394938,8351232,Non-roster,No,Department,2020-10-01,2020-02-01,UNS:7585,STT,223
2022,PSJO,INFONET,UN-OAH-2,Female,Spain,Western Europe and Others,Language,P-4,2022,521889,8383491,Non-roster,No,OAH,2022-07-01,2022-02-01,UNS:8634,LAN,155
2017,PSJO,MAGNET,UN-OFFICE-5,Male,Serbia,Eastern European,Investigation,P-4,2017,219072,8392761,Non-roster,No,Office,2017-02-01,2017-01-01,UNS:4269,ING,23
2017,PSJO,DEVNET,UN-DEPT-3,Male,Czech Republic,Eastern European,Statistics,P-3,2015,138201,8395209,Non-roster,No,Department,2017-08-01,2015-08-01,UNS:6539,STT,712
2022,PSJO,MAGNET,UN-OAH-2,Female,Poland,Eastern European,Finance,P-4,2021,487305,8398029,Non-roster,No,OAH,2022-04-01,2021-10-01,UNS:3350,FIN,210
2017,PSJO,MAGNET,UN-OAH-2,Female,Poland,Eastern European,Finance,P-3,2017,224358,8398029,Roster,Yes,OAH,2017-03-01,2017-02-01,UNS:1012,FIN,21
2022,RfR,POLNET,UN-PKO-1,Male,"Congo, The Democratic Republic",Africa,Rule of Law,P-4,2022,505323,8403954,Roster,Yes,Peacekeeping Mission,2022-03-01,2022-02-01,UNS:4298,ROL,49
2017,PSJO,POLNET,UN-PKO-1,Male,"Congo, The Democratic Republic",Africa,Rule of Law,P-3,2016,162897,8403954,Non-roster,No,Peacekeeping Mission,2017-01-01,2016-01-01,UNS:4297,ROL,374
2017,PSJO,INFONET,UN-OAH-2,Female,Spain,Western Europe and Others,Language,P-4,2016,212049,8433417,Non-roster,No,OAH,2017-04-01,2016-11-01,UNS:8236,LAN,148
2019,PSJO,POLNET,UN-OFFICE-5,Female,Germany,Western Europe and Others,Political Affairs,P-3,2019,345537,8465682,Roster,Yes,Office,2019-04-01,2019-04-01,UNS:5119,POL,6
2018,RfR,DEVNET,UN-PKO-1,Female,Cote D'Ivoire,Africa,Environmental Affairs,P-4,2018,303696,8517819,Roster,Yes,Peacekeeping Mission,2018-09-01,2018-07-01,UNS:3191,ENV,55
2018,RfR,POLNET,UN-PKO-1,Female,Canada,Western Europe and Others,Rule of Law,P-4,2018,303435,8520720,Roster,Yes,Peacekeeping Mission,2018-10-01,2018-08-01,UNS:4298,ROL,59
2022,PSJO,DEVNET,UN-DEPT-3,Male,Germany,Western Europe and Others,Economic Affairs,P-3,2021,475155,8553390,Roster,Yes,Department,2022-06-01,2021-07-01,UNS:7283,ECO,331
2020,RfR,POLNET,UN-PKO-1,Male,France,Western Europe and Others,Security Institutions,P-4,2020,413940,8609676,Roster,Yes,Peacekeeping Mission,2020-09-01,2020-07-01,UNS:6097,SEI,65
2021,PSJO,MAGNET,UN-OAH-2,Female,United States of America,Western Europe and Others,Human Resources,P-3,2021,493020,8611122,Non-roster,No,OAH,2021-12-01,2021-09-01,UNS:3819,HRE,72
2022,PSJO,LOGNET,UN-PKO-1,Female,Tunisia,Africa,Logistics and Supply Chain,P-3,2021,507768,8640744,Non-roster,No,Peacekeeping Mission,2022-08-01,2021-11-01,UNS:4536,LOG,258
2022,PSJO,INFONET,UN-OAH-2,Female,Russian Federation,Eastern European,Language,P-4,2022,541041,8693223,Non-roster,No,OAH,2022-08-01,2022-05-01,UNS:7548,LAN,103
2021,PSJO,INFONET,UN-OAH-2,Female,France,Western Europe and Others,Language,P-5,2021,456423,8796792,Roster,Yes,OAH,2021-06-01,2021-04-01,UNS:8694,LAN,77
2022,PSJO,INFONET,UN-OAH-2,Female,France,Western Europe and Others,Language,P-4,2022,533370,8823222,Roster,Yes,OAH,2022-04-01,2022-03-01,UNS:8232,LAN,23
2019,PSJO,POLNET,UN-PKO-1,Male,Benin,Africa,Rule of Law,P-4,2018,304521,8863893,Non-roster,No,Peacekeeping Mission,2019-02-01,2018-08-01,UNS:4298,ROL,209
2017,PSJO,DEVNET,UN-DEPT-3,Female,Italy,Western Europe and Others,Economic Affairs,P-3,2017,237669,8907075,Non-roster,No,Department,2017-09-01,2017-06-01,UNS:7283,ECO,102
2022,RfR,POLNET,UN-PKO-1,Male,Burkina Faso,Africa,Human Rights Affairs,P-3,2021,508401,8915769,Roster,Yes,Peacekeeping Mission,2022-06-01,2021-12-01,UNS:3873,HRI,191
2017,PSJO,DEVNET,UN-DEPT-3,Female,Spain,Western Europe and Others,Public Administration,P-5,2016,170589,8930241,Non-roster,No,Department,2017-03-01,2016-06-01,UNS:6183,PBA,276
2022,PSJO,DEVNET,UN-DEPT-3,Female,United States of America,Western Europe and Others,Population Affairs,P-3,2018,272724,8946567,Non-roster,No,Department,2022-04-01,2018-01-01,UNS:5126,POP,"1,547"
2020,PSJO,LOGNET,UN-OAH-2,Male,France,Western Europe and Others,Engineering,P-3,2019,359598,9026787,Roster,Yes,OAH,2020-01-01,2019-08-01,UNS:3109,ENG,155
2017,PSJO,LOGNET,UN-OAH-2,Male,France,Western Europe and Others,Engineering,P-3,2017,238662,9026787,Non-roster,No,OAH,2017-11-01,2017-06-01,UNS:3153,ENG,158
2018,PSJO,DEVNET,UN-DEPT-3,Female,Canada,Western Europe and Others,Statistics,P-4,2018,301572,9155406,Roster,Yes,Department,2018-09-01,2018-07-01,UNS:6540,STT,63
2020,PSJO,DEVNET,UN-DEPT-3,Female,Germany,Western Europe and Others,Economic Affairs,P-4,2019,376593,9189747,Non-roster,No,Department,2020-04-01,2019-11-01,UNS:7284,ECO,161
2021,PSJO,INFONET,UN-OAH-2,Male,Mauritania,Africa,Language,P-4,2021,477933,9237792,Roster,Yes,OAH,2021-09-01,2021-07-01,UNS:8226,LAN,64
2017,PSJO,DEVNET,UN-OAH-2,Female,Greece,Western Europe and Others,Programme Management,P-3,2016,193791,9267675,Non-roster,No,OAH,2017-04-01,2016-08-01,UNS:8412,PGM,244
2019,PSJO,MAGNET,UN-OAH-2,Female,France,Western Europe and Others,Finance,P-5,2018,322137,9376488,Non-roster,No,OAH,2019-03-01,2018-12-01,UNS:2083,FIN,107
2022,PSJO,INFONET,UN-OAH-2,Female,China,Asia-Pacific,Language,P-4,2022,518580,9392130,Roster,Yes,OAH,2022-02-01,2022-01-01,UNS:8631,LAN,10
2020,PSJO,DEVNET,UN-DEPT-3,Female,United States of America,Western Europe and Others,Statistics,P-3,2019,376830,9548466,Roster,Yes,Department,2020-02-01,2019-10-01,UNS:6539,STT,105
2021,PSJO,DEVNET,UN-DEPT-3,Female,United States of America,Western Europe and Others,Population Affairs,P-3,2021,456507,9548466,Non-roster,No,Department,2021-12-01,2021-04-01,UNS:5126,POP,237
2022,PSJO,LEGALNET,UN-OFFICE-5,Male,Australia,Western Europe and Others,Legal Affairs,P-3,2022,540153,9605787,Non-roster,No,Office,2022-08-01,2022-05-01,UNS:4426,LEG,106
2021,PSJO,DEVNET,UN-DEPT-3,Female,Malaysia,Asia-Pacific,Economic Affairs,P-3,2020,385059,9694671,Non-roster,No,Department,2021-05-01,2020-01-01,UNS:7283,ECO,494
2022,PSJO,MAGNET,UN-OAH-2,Male,Germany,Western Europe and Others,Finance,P-5,2022,542958,9730116,Roster,Yes,OAH,2022-07-01,2022-05-01,UNS:6130,FIN,58
2021,PSJO,INFONET,UN-OAH-2,Female,United Kingdom,Western Europe and Others,Language,P-4,2021,470625,9730287,Non-roster,No,OAH,2021-12-01,2021-06-01,UNS:8632,LAN,173
2021,PSJO,POLNET,UN-OFFICE-5,Male,Germany,Western Europe and Others,Political Affairs,P-3,2021,477036,9745728,Roster,Yes,Office,2021-10-01,2021-07-01,UNS:5119,POL,103
2021,PSJO,MAGNET,UN-PKO-1,Female,Niger,Africa,Human Resources,P-4,2019,376605,9777945,Non-roster,No,Peacekeeping Mission,2021-04-01,2019-10-01,UNS:8727,HRE,531
2020,PSJO,POLNET,UN-OFFICE-5,Male,"Korea, Republic of",Asia-Pacific,Political Affairs,P-3,2020,398961,9803283,Roster,Yes,Office,2020-04-01,2020-03-01,UNS:5119,POL,26
2022,PSJO,POLNET,UN-OFFICE-5,Male,"Korea, Republic of",Asia-Pacific,Political Affairs,P-3,2022,535317,9803283,Roster,Yes,Office,2022-06-01,2022-04-01,UNS:5119,POL,43
2017,PSJO,DEVNET,UN-DEPT-3,Female,China,Asia-Pacific,Programme Management,P-4,2017,238347,9943623,Non-roster,No,Department,2017-12-01,2017-05-01,UNS:5283,PGM,210
2022,RfR,POLNET,UN-PKO-1,Male,Haiti,Latin American and Caribbean,Human Rights Affairs,P-3,2022,522765,10101672,Roster,Yes,Peacekeeping Mission,2022-05-01,2022-03-01,UNS:5461,HRI,63
2017,PSJO,DEVNET,UN-DEPT-3,Male,Malaysia,Asia-Pacific,Statistics,P-5,2017,219009,10259253,Non-roster,No,Department,2017-08-01,2017-02-01,UNS:6341,STT,189
2022,PSJO,LOGNET,UN-PKO-1,Female,Cote D'Ivoire,Africa,Property and Asset Management,P-3,2022,530436,10358727,Non-roster,No,Peacekeeping Mission,2022-08-01,2022-03-01,UNS:10390,PAM,149
2021,PSJO,DEVNET,UN-DEPT-3,Male,Canada,Western Europe and Others,Economic Affairs,P-4,2020,388698,10434774,Non-roster,No,Department,2021-05-01,2020-01-01,UNS:7284,ECO,495
2022,PSJO,DEVNET,UN-DEPT-3,Female,Indonesia,Asia-Pacific,Economic Affairs,P-3,2021,478992,10470033,Non-roster,No,Department,2022-04-01,2021-10-01,UNS:7283,ECO,181
2021,PSJO,LOGNET,UN-OAH-2,Female,Lebanon,Asia-Pacific,Engineering,P-3,2021,467346,10630194,Non-roster,No,OAH,2021-12-01,2021-05-01,UNS:3153,ENG,214
2017,PSJO,MAGNET,UN-OFFICE-5,Male,New Zealand,Western Europe and Others,Investigation,P-5,2017,219033,10689144,Non-roster,No,Office,2017-02-01,2017-01-01,UNS:7592,ING,24
2021,PSJO,INFONET,UN-OAH-2,Female,United Kingdom,Western Europe and Others,Language,P-4,2021,470625,10712949,Non-roster,No,OAH,2021-12-01,2021-06-01,UNS:8632,LAN,173
2018,RfR,POLNET,UN-PKO-1,Female,Belgium,Western Europe and Others,Security Institutions,P-3,2018,297744,10815708,Roster,Yes,Peacekeeping Mission,2018-07-01,2018-06-01,UNS:2898,SEI,39
2017,PSJO,DEVNET,UN-DEPT-3,Male,Canada,Western Europe and Others,Economic Affairs,P-5,2016,206682,10946619,Non-roster,No,Department,2017-03-01,2016-11-01,UNS:7577,ECO,105
2017,PSJO,LOGNET,UN-OAH-2,Male,"Moldova, Republic of",Eastern European,Procurement,P-3,2017,220482,10999905,Non-roster,No,OAH,2017-07-01,2017-01-01,UNS:5223,PRO,168
2018,RfR,POLNET,UN-PKO-1,Male,Australia,Western Europe and Others,Human Rights Affairs,P-3,2018,311526,11168421,Roster,Yes,Peacekeeping Mission,2018-11-01,2018-09-01,UNS:2322,HRI,68
2017,PSJO,MAGNET,UN-OFFICE-5,Female,Sweden,Western Europe and Others,Investigation,P-4,2017,219084,11198547,Non-roster,No,Office,2017-02-01,2017-01-01,UNS:4269,ING,24
2022,PSJO,INFONET,UN-OAH-2,Male,Belgium,Western Europe and Others,Language,P-4,2022,515598,11357829,Non-roster,No,OAH,2022-05-01,2022-01-01,UNS:8633,LAN,127
2022,PSJO,LEGALNET,UN-OFFICE-5,Male,Belgium,Western Europe and Others,Legal Affairs,P-4,2022,539328,11378445,Non-roster,No,Office,2022-08-01,2022-05-01,UNS:4430,LEG,104
2020,PSJO,MAGNET,UN-DEPT-3,Female,Bosnia and Herzegovina,Eastern European,Finance,P-3,2020,409560,11393001,Roster,Yes,Department,2020-06-01,2020-06-01,UNS:3349,FIN,8
2019,PSJO,DEVNET,UN-OAH-2,Female,Kazakhstan,Asia-Pacific,Programme Management,P-3,2018,304908,11416569,Non-roster,No,OAH,2019-07-01,2018-08-01,UNS:2605,PGM,309
2020,PSJO,POLNET,UN-OFFICE-5,Female,United States of America,Western Europe and Others,Political Affairs,P-3,2020,415896,11489403,Non-roster,No,Office,2020-11-01,2020-08-01,UNS:5119,POL,87
2019,PSJO,POLNET,UN-OFFICE-5,Female,United States of America,Western Europe and Others,Political Affairs,P-3,2018,303039,11567829,Non-roster,No,Office,2019-01-01,2018-08-01,UNS:5119,POL,180
2017,PSJO,INFONET,UN-OAH-2,Male,Switzerland,Western Europe and Others,Public Information,P-4,2017,207993,11580423,Non-roster,No,OAH,2017-07-01,2017-02-01,UNS:5563,PUB,143
2021,PSJO,MAGNET,UN-PKO-1,Female,Canada,Western Europe and Others,Audit,P-3,2020,435315,11644338,Non-roster,No,Peacekeeping Mission,2021-11-01,2020-11-01,UNS:7832,AUD,350
2017,PSJO,DEVNET,UN-DEPT-3,Male,United Kingdom,Western Europe and Others,Statistics,P-3,2017,229929,11653323,Non-roster,No,Department,2017-08-01,2017-03-01,UNS:6539,STT,136
2020,PSJO,DEVNET,UN-DEPT-3,Female,China,Asia-Pacific,Environmental Affairs,P-3,2020,387675,11881230,Non-roster,No,Department,2020-07-01,2020-01-01,UNS:10025,ENV,177
2022,RfR,POLNET,UN-SPM-4,Male,Germany,Western Europe and Others,Political Affairs,P-3,2022,531501,11916120,Roster,Yes,Special Political Mission,2022-06-01,2022-03-01,UNS:5119,POL,91
2018,PSJO,LOGNET,UN-OAH-2,Male,France,Western Europe and Others,Engineering,P-3,2018,278868,11947101,Non-roster,No,OAH,2018-10-01,2018-03-01,UNS:3153,ENG,224
2019,PSJO,DEVNET,UN-DEPT-3,Female,China,Asia-Pacific,Sustainable Development,P-3,2018,304608,12059430,Non-roster,No,Department,2019-08-01,2018-08-01,UNS:6657,SUS,367
2020,PSJO,DEVNET,UN-DEPT-3,Female,United States of America,Western Europe and Others,Statistics,P-3,2018,309213,12156537,Non-roster,No,Department,2020-02-01,2018-09-01,UNS:6539,STT,534
2021,PSJO,ITECNET,UN-OAH-2,Male,Montenegro,Eastern European,Information Management Systems and Technology,P-3,2020,414567,12548301,Non-roster,No,OAH,2021-03-01,2020-07-01,UNS:3981,IST,232
2022,RfR,POLNET,UN-PKO-1,Male,Togo,Africa,Political Affairs,P-3,2021,504663,12562248,Roster,Yes,Peacekeeping Mission,2022-02-01,2021-11-01,UNS:3539,POL,81
2022,PSJO,POLNET,UN-OFFICE-5,Female,Switzerland,Western Europe and Others,Political Affairs,P-3,2022,541011,12569586,Roster,Yes,Office,2022-08-01,2022-06-01,UNS:5119,POL,67
2022,PSJO,LEGALNET,UN-PKO-1,Female,Uganda,Africa,Legal Affairs,P-3,2021,452388,12628857,Non-roster,No,Peacekeeping Mission,2022-02-01,2021-03-01,UNS:4426,LEG,345
2019,PSJO,MAGNET,UN-PKO-1,Male,Cameroon,Africa,Human Resources,P-3,2018,257436,12657000,Non-roster,No,Peacekeeping Mission,2019-01-01,2018-02-01,UNS:3819,HRE,353
2018,PSJO,SAFETYNET,UN-OAH-2,Male,Brazil,Latin American and Caribbean,Security,P-4,2018,274089,12705258,Non-roster,No,OAH,2018-09-01,2018-03-01,UNS:5988,SEC,184
2022,PSJO,DEVNET,UN-DEPT-3,Female,China,Asia-Pacific,Economic Affairs,P-3,2022,528024,12828681,Roster,Yes,Department,2022-05-01,2022-03-01,UNS:7283,ECO,68
2021,RfR,POLNET,UN-PKO-1,Female,Canada,Western Europe and Others,Political Affairs,P-3,2021,506889,12874932,Roster,Yes,Peacekeeping Mission,2021-12-01,2021-11-01,UNS:8863,POL,40
2021,PSJO,DEVNET,UN-OAH-2,Female,Netherlands,Western Europe and Others,Programme Management,P-5,2021,503130,12962121,Non-roster,No,OAH,2021-12-01,2021-11-01,UNS:10021,PGM,37
2021,PSJO,POLNET,UN-OFFICE-5,Male,Netherlands,Western Europe and Others,Political Affairs,P-3,2020,420393,12973341,Non-roster,No,Office,2021-01-01,2020-09-01,UNS:5119,POL,121
2018,RfR,POLNET,UN-PKO-1,Male,Ireland,Western Europe and Others,Political Affairs,P-3,2018,313011,13115886,Roster,Yes,Peacekeeping Mission,2018-11-01,2018-09-01,UNS:5119,POL,58
2018,PSJO,DEVNET,UN-DEPT-3,Female,China,Asia-Pacific,Economic Affairs,P-4,2018,274011,13116954,Non-roster,No,Department,2018-08-01,2018-02-01,UNS:7284,ECO,176
2021,PSJO,LOGNET,UN-PKO-1,Male,"Tanzania, United Republic of",Africa,Logistics and Supply Chain,P-5,2020,425898,13121898,Non-roster,No,Peacekeeping Mission,2021-05-01,2020-09-01,UNS:10154,LOG,228
2020,PSJO,DEVNET,UN-DEPT-3,Female,Kenya,Africa,Economic Affairs,P-4,2019,376593,13122315,Non-roster,No,Department,2020-04-01,2019-11-01,UNS:7284,ECO,161
2020,PSJO,SAFETYNET,UN-PKO-1,Female,Kenya,Africa,Security,P-3,2019,336783,13180503,Non-roster,No,Peacekeeping Mission,2020-11-01,2019-04-01,UNS:5987,SEC,568
2021,PSJO,POLNET,UN-OFFICE-5,Male,Japan,Asia-Pacific,Political Affairs,P-3,2021,473169,13279143,Roster,Yes,Office,2021-07-01,2021-06-01,UNS:5119,POL,33
2021,PSJO,POLNET,UN-OFFICE-5,Male,Netherlands,Western Europe and Others,Political Affairs,P-3,2021,444138,13413069,Roster,Yes,Office,2021-02-01,2021-02-01,UNS:5119,POL,19
2019,PSJO,LOGNET,UN-OAH-2,Male,Canada,Western Europe and Others,Procurement,P-3,2018,284376,13494735,Non-roster,No,OAH,2019-01-01,2018-04-01,UNS:2556,PRO,265
2021,PSJO,MAGNET,UN-OAH-2,Male,France,Western Europe and Others,Administration,P-3,2020,393828,13586682,Non-roster,No,OAH,2021-03-01,2020-04-01,UNS:1102,ADM,321
2021,PSJO,DEVNET,UN-DEPT-3,Male,Nepal,Asia-Pacific,Programme Management,P-3,2020,402678,13669056,Non-roster,No,Department,2021-02-01,2020-03-01,UNS:8412,PGM,314
2020,PSJO,MAGNET,UN-OAH-2,Female,Canada,Western Europe and Others,Finance,P-3,2019,382032,13777290,Non-roster,No,OAH,2020-07-01,2019-12-01,UNS:1012,FIN,196
2020,PSJO,POLNET,UN-PKO-1,Male,Rwanda,Africa,Political Affairs,P-3,2019,371961,13788369,Non-roster,No,Peacekeeping Mission,2020-11-01,2019-10-01,UNS:5119,POL,399
2021,RfR,POLNET,UN-PKO-1,Male,Rwanda,Africa,Political Affairs,P-3,2020,435207,13788369,Roster,Yes,Peacekeeping Mission,2021-06-01,2020-11-01,UNS:3926,POL,208
2019,PSJO,DEVNET,UN-DEPT-3,Male,China,Asia-Pacific,Economic Affairs,P-5,2018,313674,13913802,Non-roster,No,Department,2019-05-01,2018-11-01,UNS:7799,ECO,184
2020,PSJO,POLNET,UN-PKO-1,Female,Canada,Western Europe and Others,Political Affairs,P-3,2019,371961,13916268,Non-roster,No,Peacekeeping Mission,2020-11-01,2019-10-01,UNS:5119,POL,399
2019,PSJO,DEVNET,UN-DEPT-3,Male,Spain,Western Europe and Others,Economic Affairs,P-5,2018,305763,13928907,Non-roster,No,Department,2019-01-01,2018-08-01,UNS:7577,ECO,156
2020,PSJO,POLNET,UN-PKO-1,Female,Lithuania,Eastern European,Political Affairs,P-3,2019,371961,13948251,Non-roster,No,Peacekeeping Mission,2020-11-01,2019-10-01,UNS:5119,POL,399
2022,PSJO,INFONET,UN-OAH-2,Female,France,Western Europe and Others,Language,P-4,2022,515598,14104245,Non-roster,No,OAH,2022-05-01,2022-01-01,UNS:8633,LAN,127
2022,PSJO,DEVNET,UN-DEPT-3,Female,Pakistan,Asia-Pacific,Statistics,P-3,2021,504987,14115309,Non-roster,No,Department,2022-03-01,2021-12-01,UNS:6539,STT,103
2022,PSJO,DEVNET,UN-DEPT-3,Female,India,Asia-Pacific,Economic Affairs,P-4,2018,315261,14137281,Non-roster,No,Department,2022-04-01,2018-10-01,UNS:7284,ECO,"1,281"
2021,PSJO,LOGNET,UN-OAH-2,Female,Italy,Western Europe and Others,Engineering,P-3,2020,402876,14192367,Non-roster,No,OAH,2021-02-01,2020-06-01,UNS:1180,ENG,254
2019,PSJO,LOGNET,UN-OAH-2,Male,Italy,Western Europe and Others,Engineering,P-3,2018,315549,14198412,Non-roster,No,OAH,2019-06-01,2018-11-01,UNS:3109,ENG,197
2022,PSJO,LOGNET,UN-OAH-2,Male,Romania,Eastern European,Engineering,P-3,2021,507645,14324922,Roster,Yes,OAH,2022-03-01,2021-12-01,UNS:3109,ENG,90
2022,PSJO,MAGNET,UN-OAH-2,Female,Ireland,Western Europe and Others,Human Resources,P-3,2022,523113,14610405,Non-roster,No,OAH,2022-07-01,2022-02-01,UNS:8728,HRE,155
2020,PSJO,POLNET,UN-PKO-1,Male,Cote D'Ivoire,Africa,Political Affairs,P-3,2019,371961,14779770,Non-roster,No,Peacekeeping Mission,2020-11-01,2019-10-01,UNS:5119,POL,399
2020,PSJO,DEVNET,UN-SPM-4,Male,Senegal,Africa,Economic Affairs,P-5,2019,341487,14794218,Non-roster,No,Special Political Mission,2020-03-01,2019-04-01,UNS:7333,ECO,335
2020,PSJO,DEVNET,UN-DEPT-3,Female,Colombia,Latin American and Caribbean,Economic Affairs,P-5,2020,409296,14892591,Non-roster,No,Department,2020-11-01,2020-07-01,UNS:7577,ECO,146
2020,PSJO,DEVNET,UN-DEPT-3,Male,Japan,Asia-Pacific,Programme Management,P-5,2019,364230,15007908,Non-roster,No,Department,2020-07-01,2019-08-01,UNS:6291,PGM,329
2021,PSJO,POLNET,UN-OFFICE-5,Female,Germany,Western Europe and Others,Political Affairs,P-5,2021,465345,15172374,Non-roster,No,Office,2021-09-01,2021-06-01,UNS:6285,POL,97
2022,RfR,POLNET,UN-PKO-1,Female,France,Western Europe and Others,Political Affairs,P-3,2022,514821,15462681,Roster,Yes,Peacekeeping Mission,2022-05-01,2022-01-01,UNS:5119,POL,111
2021,RfR,POLNET,UN-SPM-4,Male,Cameroon,Africa,Political Affairs,P-4,2021,499878,15536730,Roster,Yes,Special Political Mission,2021-12-01,2021-10-01,UNS:5121,POL,38
2021,RfR,POLNET,UN-SPM-4,Female,China,Asia-Pacific,Political Affairs,P-3,2021,496062,15573183,Roster,Yes,Special Political Mission,2021-12-01,2021-10-01,UNS:5119,POL,61
